Programme,Country,Type,Region,Currency,Government contribution,Service fee (10%),Indicative all-in,Notes,Active
Antigua & Barbuda CBI,Antigua & Barbuda,CBI,caribbean,USD,270000,27000,297000,+ govt fees & due diligence at cost,yes
Argentina Residency,Argentina,Residency,south_america,USD,,,,By consultation (no fixed contribution),yes
Chile Residency,Chile,Residency,south_america,USD,500000,50000,550000,+ govt fees & due diligence at cost,yes
Dominica CBI,Dominica,CBI,caribbean,USD,100000,10000,110000,+ govt fees & due diligence at cost,yes
El Salvador Residency,El Salvador,Residency,central_america,USD,1021999,102200,1124199,+ govt fees & due diligence at cost,yes
Georgia Residency,Georgia,Residency,europe,USD,,,,By consultation (no fixed contribution),yes
Asset Protection Trust,Global,Trust,global,USD,50000,5000,55000,+ govt fees & due diligence at cost,yes
Greece Golden Visa,Greece,Golden Visa,europe,EUR,250000,25000,275000,+ govt fees & due diligence at cost,yes
Grenada CBI,Grenada,CBI,caribbean,USD,275000,27500,302500,+ govt fees & due diligence at cost,yes
Panama Residency,Panama,Residency,central_america,USD,300000,30000,330000,+ govt fees & due diligence at cost,yes
Portugal Golden Visa,Portugal,Golden Visa,europe,EUR,500000,50000,550000,+ govt fees & due diligence at cost,yes
Sao Tome CBI,Sao Tome & Principe,CBI,africa,USD,105000,10500,115500,+ govt fees & due diligence at cost,yes
Serbia CBI,Serbia,CBI,europe,USD,400000,40000,440000,+ govt fees & due diligence at cost,yes
Sierra Leone CBI,Sierra Leone,CBI,africa,USD,115000,11500,126500,+ govt fees & due diligence at cost,yes
Slovakia Residency,Slovakia,Residency,europe,EUR,5000,500,5500,+ govt fees & due diligence at cost,yes
St Kitts & Nevis CBI,St Kitts & Nevis,CBI,caribbean,USD,300000,30000,330000,+ govt fees & due diligence at cost,yes
St Lucia CBI,St Lucia,CBI,caribbean,USD,100000,10000,110000,+ govt fees & due diligence at cost,yes
Dubai Residency,UAE,Residency,middle_east,AED,100000,10000,110000,+ govt fees & due diligence at cost,yes
Vanuatu CBI,Vanuatu,CBI,asia_pacific,USD,150000,15000,165000,+ govt fees & due diligence at cost,yes
